Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Actinomyces naeslundii	Multiple	1	0	1	1	1	29	0.9952234575666603	0.001	Alouatta:Gorilla:Homo:Pan
Actinomyces odontolyticus	Single	0	0	0	1	0	4	0.8377870527790351	0.004	Homo
Actinomyces oris	Multiple	1	0	1	1	1	29	0.9981138563378046	0.001	Alouatta:Gorilla:Homo:Pan
Actinomyces provencensis	Single	0	0	0	0	1	5	0.6546536707079771	0.001	Pan
Actinomyces ruminicola	Multiple	1	0	1	1	1	29	0.7135060680126757	0.012	Alouatta:Gorilla:Homo:Pan
Actinomyces slackii	Single	1	0	0	0	0	1	0.8106700879813286	0.001	Alouatta
Actinomyces sp. oral taxon 170	Multiple	1	0	1	1	0	19	0.7981285530685482	0.004	Alouatta:Gorilla:Homo
Actinomyces sp. oral taxon 171	Multiple	1	0	1	1	0	19	0.7755432254506521	0.003	Alouatta:Gorilla:Homo
Actinomyces sp. oral taxon 414	Multiple	0	0	1	1	1	25	0.977658641405896	0.001	Gorilla:Homo:Pan
Actinomyces sp. oral taxon 448	Multiple	1	0	1	0	1	20	0.7522170813859937	0.01	Alouatta:Gorilla:Pan
Actinomyces sp. oral taxon 849	Multiple	0	0	1	1	0	13	0.6712351540885553	0.009	Gorilla:Homo
Aeromicrobium choanae	Single	1	0	0	0	0	1	0.6324555320336759	0.003	Alouatta
Aggregatibacter actinomycetemcomitans	Multiple	1	0	1	0	0	7	0.9628647113347747	0.001	Alouatta:Gorilla
