Binning Method	Database	Taxonomic Level	Decontam Method	Decontam Threshold	Contaminant	Genus	Species
megan	nt	genus	combined	0.99	Nitrosopumilus	Nitrosopumilus	NA
megan	nt	genus	combined	0.99	Nitrososphaera	Nitrososphaera	NA
megan	nt	genus	combined	0.99	Nitrosospira	Nitrosospira	NA
megan	nt	genus	combined	0.99	Nitrospira	Nitrospira	NA
megan	nt	genus	combined	0.99	Nitrospirillum	Nitrospirillum	NA
megan	nt	genus	combined	0.99	Nocardioides	Nocardioides	NA
megan	nt	genus	combined	0.99	Notamacropus	Notamacropus	NA
megan	nt	genus	combined	0.99	Novosphingobium	Novosphingobium	NA
megan	nt	genus	combined	0.99	Obesumbacterium	Obesumbacterium	NA
megan	nt	genus	combined	0.99	Oblitimonas	Oblitimonas	NA
megan	nt	genus	combined	0.99	Oceanithermus	Oceanithermus	NA
megan	nt	genus	combined	0.99	Ochrobactrum	Ochrobactrum	NA
megan	nt	genus	combined	0.99	Oligotropha	Oligotropha	NA
megan	nt	genus	combined	0.99	Onchocerca	Onchocerca	NA
