Sample_Name	Extra_lib_2	Extra_lib_3	Extra_lib_4	Extra_lib_5	ERR_Accession	ERR_Accession_Extra_lib_2	ERR_Accession_Extra_lib_3	ERR_Accession_Extra_lib_4	ERR_Accession_Extra_lib_5	NonHuman_Reads_Lib_1	NonHuman_Reads_Lib_2	NonHuman_Reads_Lib_3	NonHuman_Reads_Lib_4	NonHuman_Reads_Lib_5	Final NonHuman Reads
EXB020.A0101	NA	NA	NA	NA						81784	0	0	0	0	81784
EXB021.A0101	NA	NA	NA	NA						73597	0	0	0	0	73597
EXB022.A0101	NA	NA	NA	NA						1767632	0	0	0	0	1767632
EXB023.A0101	NA	NA	NA	NA						1731519	0	0	0	0	1731519
EXB033.A0401	NA	NA	NA	NA						891364	0	0	0	0	891364
EXB033.A0801	NA	NA	NA	NA						940295	0	0	0	0	940295
EXB033.A1401	NA	NA	NA	NA						223573	0	0	0	0	223573
LIB007.A0117	NA	NA	NA	NA						45330	0	0	0	0	45330
LIB007.A0118	NA	NA	NA	NA						413954	0	0	0	0	413954
LIB007.A0119	NA	NA	NA	NA						295765	0	0	0	0	295765
LIB007.A0120	NA	NA	NA	NA						1296344	0	0	0	0	1296344
LIB007.A0121	NA	NA	NA	NA						609317	0	0	0	0	609317
LIB007.A0122	NA	NA	NA	NA						1957237	0	0	0	0	1957237
LIB007.A0123	NA	NA	NA	NA						1446460	0	0	0	0	1446460
LIB007.A0124	NA	NA	NA	NA						776026	0	0	0	0	776026
LIB009.A0102	NA	NA	NA	NA						204414	0	0	0	0	204414
LIB012.A0101	NA	NA	NA	NA						84134	0	0	0	0	84134
LIB013.A0101	NA	NA	NA	NA						334	0	0	0	0	334
LIB014.A0101	NA	NA	NA	NA						991883	0	0	0	0	991883
LIB015.A0101	NA	NA	NA	NA						1451516	0	0	0	0	1451516
LIB017.A0101	NA	NA	NA	NA						936003	0	0	0	0	936003
LIB017.A0102	NA	NA	NA	NA						670043	0	0	0	0	670043
LIB025.A0601	NA	NA	NA	NA						718323	0	0	0	0	718323
LIB025.A0701	NA	NA	NA	NA						830044	0	0	0	0	830044
ARS001.A0101.SG1.2	NA	NA	NA	NA						24581512	0	0	0	0	24581512
ARS004.A0101.SG1.2	NA	NA	NA	NA						17580795	0	0	0	0	17580795
ARS005.A0101.SG1.2	NA	NA	NA	NA						18356410	0	0	0	0	18356410
ARS010.A0101.SG1.2	NA	NA	NA	NA						20255679	0	0	0	0	20255679
ARS011.A0101.SG1.2	NA	NA	NA	NA						18240287	0	0	0	0	18240287
ARS012.A0101.SG1.2	NA	NA	NA	NA						20433082	0	0	0	0	20433082
ARS013.A0101.SG1.2	NA	NA	NA	NA						21043477	0	0	0	0	21043477
ARS015.A0101.SG1.2	NA	NA	NA	NA						29902998	0	0	0	0	29902998
ARS017.A0101.SG1.2	NA	NA	NA	NA						38493832	0	0	0	0	38493832
ARS020.A0101.SG1.2	NA	NA	NA	NA						21129699	0	0	0	0	21129699
DLV001.A0101	NA	NA	NA	NA						986675	0	0	0	0	986675
DLV002.A0101	NA	NA	NA	NA						83056	0	0	0	0	83056
OFN001.A0101	NA	NA	NA	NA						12400690	0	0	0	0	12400690
PLV001.A0101	NA	NA	NA	NA						11431381	0	0	0	0	11431381
RIG001.A0101	NA	NA	NA	NA						26077448	0	0	0	0	26077448
