sample	Env	Description	Host_General	Host_Common	Age	EnvironmentalControl	ruralGut	sediment	skin	subPlaque	supPlaque	urbanGut	unknown	total_plaquegut	more_env
OAK001.A0101	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Epipalaeolithic	0.1339	0	0.4052	0.0125	0.3197	0	0	0.1287	0.3197	TRUE
OAK002.A0101	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Epipalaeolithic	0	1e-4	0.3091	0.0559	0.0385	0.5082	0	0.0882	0.5468	FALSE
OAK003.A0101	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Epipalaeolithic	0	0.0103	0.1764	2e-4	0.3469	0	0.0099	0.4563	0.3671	TRUE
OAK004.A0101	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Epipalaeolithic	0	0.0011	0.3032	0.0726	0.4359	0.1297	0	0.0575	0.5667	FALSE
OAK005.A0101	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Epipalaeolithic	0	0	0.2561	0.0065	0.635	1e-4	0.0528	0.0495	0.6879	FALSE
TAF008.B0101	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Epipalaeolithic	2e-4	0.1247	0.3262	0.003	0.3383	0	0.0182	0.1894	0.48119999999999996	FALSE
TAF016.B0101	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Epipalaeolithic	0.6045	0	0.05	0.0354	0	0	1e-4	0.31	1e-4	TRUE
TAF017.A0101	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Epipalaeolithic	0.1468	0.0155	0.1991	0.0202	0.1981	3e-4	0.0145	0.4055	0.2284	TRUE
TAF018.A0101	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Epipalaeolithic	0.0812	0.0027	0.3859	0.0739	0.2432	0.1451	0.015	0.053	0.40599999999999997	FALSE
ECO002.B0101	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Mesolithic	0	3e-4	0.4041	3e-4	0.2586	0	0.1159	0.2208	0.3748	TRUE
ECO004.B0101	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Mesolithic	0.0024	0.0022	0.5085	0.0474	0.2078	0	0.0898	0.1419	0.2998	TRUE
ECO006.B0101	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Mesolithic	0.4248	0	0.4734	9e-4	0	0	0	0.1009	0	TRUE
ECO010.B0101	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Mesolithic	0	0.0121	0.2427	0	0.2035	3e-4	0.1288	0.4126	0.3447	TRUE
EMN001.A0101	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Palaeolithic	0	2e-4	0.3823	0.0291	0.2651	0.1441	0.0325	0.1467	0.44189999999999996	FALSE
OFN001.A0101	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Palaeolithic	0	0	0.3437	0.003	0.5067	0	0	0.1466	0.5067	FALSE
PLV001.A0101	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Palaeolithic	0	0.0112	0.1232	0	0	0.2799	0.0258	0.5599	0.31689999999999996	TRUE
RIG001.A0101	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Mesolithic	0	1e-4	0.2028	2e-4	0.2672	0.0898	0.0781	0.3618	0.4352	FALSE
ESA003.A0101	PreantibioticHuman_1	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0	0.0117	0.2078	0.0044	0.638	0.0462	0.0027	0.0892	0.6986000000000001	FALSE
ESA004.A0101	PreantibioticHuman_1	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0	0.0036	0.3664	0.0017	0.5257	0.005	0.01	0.0876	0.5443	FALSE
ESA006.A0101	PreantibioticHuman_1	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0.0018	0	0.2732	8e-4	0.5622	1e-4	3e-4	0.1616	0.5626	FALSE
ESA007.A0101	PreantibioticHuman_1	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0	0.0694	0.1909	0	0.5249	0	0.0038	0.211	0.5981000000000001	FALSE
ESA008.A0101	PreantibioticHuman_1	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	1e-4	0.0254	0.2144	0	0.5749	0	0.0128	0.1724	0.6131	FALSE
PYK001.A0101	PreantibioticHuman_1	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0.1368	0	0.3521	0.0096	0.3226	0	0.0234	0.1555	0.346	TRUE
PYK002.A0101	PreantibioticHuman_1	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	3e-4	0.0026	0.2975	1e-4	0.6026	0	0.008	0.0889	0.6132000000000001	FALSE
PYK003.A0101	PreantibioticHuman_1	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0	0.1184	0.2411	0	0.445	0	0.0021	0.1934	0.5655	FALSE
PYK004.A0101	PreantibioticHuman_1	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0	0	0.2209	0.0018	0.6184	0.0031	0.029	0.1268	0.6505	FALSE
PYK005.A0101	PreantibioticHuman_1	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0	0.1352	0.0645	0	0.2184	0	0	0.5819	0.3536	TRUE
BSQ001.A0101	PreantibioticHuman_2	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0.0408	0.0062	0.3637	0	0.2924	0	0.1036	0.1933	0.4022	FALSE
LIS001.A0101	PreantibioticHuman_2	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0	0.1096	0.3342	0	0.435	1e-4	0.0025	0.1186	0.5471999999999999	FALSE
LIS002.A0101	PreantibioticHuman_2	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0	0.0446	0.3627	0	0.3956	0	0.008	0.1891	0.44820000000000004	FALSE
LIS003.A0101	PreantibioticHuman_2	Homo_sapiens_sapiens	PreantibioticHuman	Homo (Modern Human)	Historical	0	0.0109	0.3382	0	0.5037	0	0.0197	0.1275	0.5343000000000001	FALSE
