Sample number,Sample Name,# reads after C&M prior mapping,# of Merged Reads,% Merged Reads,# reads not attempted to map,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,# of reads on mitochondrium,AVG Coverage on mitochondrium,MT/NUC Ratio,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 93/188,KNP005.A0102,17910070,1215964,6.789,16694106,264867,3018,261849,1.479,1.012,0.0051,0.1127,0.27,0.23,0.01,0,0,11,0.041644034039471305,8.1,0.06,0.0505,0.0621,0.0547,60.82,63.0,39.48
Sample 94/188,KNP006.A0102,19913812,1324742,6.652,18589070,180149,1835,178314,0.905,1.010,0.0032,0.0864,0.17,0.14,0,0,0,14,0.044903132355603836,14.02,0.0828,0.0606,0.077,0.0593,55.61,54.0,41.13
Sample 95/188,KNP007.A0102,15283926,1056366,6.912,14227560,93433,931,92502,0.611,1.010,0.0018,0.0646,0.1,0.08,0,0,0,0,NaN,0.0,0.0855,0.072,0.0952,0.0744,60.7,62.0,40.9
Sample 96/188,KNP009.A0102,18644083,1268289,6.803,17375794,41208,455,40753,0.221,1.011,0.0008,0.0463,0.04,0.03,0,0,0,2,0.00917375822318788,11.92,0.0937,0.0649,0.1005,0.0656,58.48,59.0,40.94
Sample 97/188,LIB007.A0117,79567,837,1.052,78730,225,9,216,0.283,1.042,0,0.0055,0,0,0,0,0,0,NaN,0.0,0.0,0.0,0.0,0.0,55.09,54.0,60.9
Sample 98/188,LIB007.A0118,749089,12061,1.610,737028,3272,811,2461,0.437,1.330,0,0.0388,0,0,0,0,0,0,NaN,0.0,0.0024,0.0082,0.0,0.0068,60.83,68.0,51.95
Sample 99/188,LIB007.A0119,491981,9505,1.932,482476,1656,379,1277,0.337,1.297,0,0.044,0,0,0,0,0,0,NaN,0.0,0.0013,0.0027,0.0106,0.0,51.82,49.0,69.8
Sample 100/188,LIB007.A0120,1346792,17824,1.323,1328968,3040,1070,1970,0.226,1.543,0,0.0127,0,0,0,0,0,0,NaN,0.0,0.0186,0.0,0.0124,0.0,62.34,75.0,43
Sample 101/188,LIB007.A0122,2426538,87302,3.598,2339236,8710,3658,5052,0.359,1.724,0.0001,0.0259,0,0,0,0,0,0,NaN,0.0,8.0E-4,0.013,0.005,0.0025,56.23,55.0,45.03
Sample 102/188,LIB007.A0123,1797861,69663,3.875,1728198,6571,2612,3959,0.365,1.660,0.0001,0.0196,0,0,0,0,0,0,NaN,0.0,0.0149,0.01,0.0022,0.0,52.79,49.0,45.23
Sample 103/188,LIB007.A0124,924196,32456,3.512,891740,40649,19829,20820,4.398,1.952,0.0004,0.0593,0.01,0.01,0,0,0,6,0.01834751644637576,44.03,0.0107,0.0046,0.0106,0.0022,61.97,67.0,43.36
Sample 104/188,LIB009.A0102,207741,0,0.000,0,3517,1066,2451,1.693,1.435,0,0.0076,0,0,0,0,0,1,0.003681574023779347,74.42,0.0117,0.0088,0.0075,0.002,62.51,70.0,43.73
Sample 105/188,LIB012.A0101,141136,5664,4.013,135472,1076,58,1018,0.762,1.057,0,0.0122,0,0,0,0,0,0,NaN,0.0,0.0065,0.0121,0.0,0.0124,57.09,56.0,51.2
Sample 106/188,LIB013.A0101,665,23,3.459,642,224,24,200,33.684,1.120,0,0.0037,0,0,0,0,0,0,NaN,0.0,0.0333,0.0,0.0,0.05,63.22,65.0,50.17
Sample 107/188,LIB014.A0101,1781731,75315,4.227,1706416,69777,15381,54396,3.916,1.283,0.001,0.106,0.04,0.03,0.01,0.01,0,30,0.08757317882793168,86.42,0.0229,0.0184,0.0311,0.0244,57.7,59.0,47.35
Sample 108/188,LIB015.A0101,2748382,160294,5.832,2588088,180163,41425,138738,6.555,1.299,0.0027,0.1494,0.09,0.06,0.02,0.02,0.02,47,0.14889251010924015,55.78,0.0303,0.0229,0.0288,0.0251,59.58,62.0,47.22
Sample 109/188,LIB017.A0101,1707033,75005,4.394,1632028,64613,27326,37287,3.785,1.733,0.0007,0.1242,0.01,0.01,0.01,0.01,0,0,NaN,0.0,0.0127,0.0093,0.001,0.0012,56.59,57.0,42.4
Sample 110/188,LIB017.A0102,1128060,19004,1.685,1109056,2626,627,1999,0.233,1.314,0,0.0661,0,0,0,0,0,3,0.011225783088900959,331.21,0.0033,0.0,0.0281,0.0,52.58,50.0,69.9
Sample 111/188,LIB025.A0601,717968,0,0.000,0,5725,2995,2730,0.797,2.097,0,0.0568,0,0,0,0,0,0,NaN,0.0,0.0188,0.0113,0.0659,0.0428,47.51,42.0,62.18
Sample 112/188,LIB025.A0701,827308,0,0.000,0,5661,3542,2119,0.684,2.672,0,0.0568,0,0,0,0,0,0,NaN,0.0,0.0029,0.0038,0.0248,0.0,43.37,38.0,70.24
Sample 113/188,LIS001.A0101,19404910,1548270,7.979,17856640,10406,145,10261,0.054,1.014,0.0002,0.0337,0.01,0.01,0,0,0,11,0.028426579757378237,182.68,0.0932,0.0515,0.087,0.0577,46.99,42.0,47.89
Sample 114/188,LIS002.A0101,21450893,1877999,8.755,19572894,8887,180,8707,0.041,1.021,0.0001,0.0414,0.01,0,0,0,0,4,0.010018709638481501,93.64,0.0604,0.0531,0.0775,0.0664,38.06,32.0,54.26
Sample 115/188,LIS003.A0101,19176410,1370748,7.148,17805662,9296,225,9071,0.048,1.025,0.0001,0.0534,0.01,0.01,0,0,0,10,0.03247027581628342,239.75,0.0869,0.0673,0.1045,0.0845,46.28,42.0,47.79
Sample 116/188,LOB001.A0101,3617268,0,0.000,0,20473,1743,18730,0.566,1.093,0.0004,0.0278,0.03,0,0,0,0,10,0.042307924437202,117.38,0.0219,0.0204,0.016,0.0192,59.61,62.0,47.27
Sample 117/188,LOB001.A0101.170817,9414845,748043,7.945,8666802,47144,493,46651,0.501,1.011,0.0009,0.0572,0.05,0.04,0,0,0,26,0.10682600036212203,121.93,0.0201,0.0223,0.0161,0.0174,58.18,58.0,46.59
Sample 118/188,MOA001.A0101,1219688,0,0.000,0,474,12,462,0.039,1.026,0,0.0029,0,0,0,0,0,0,NaN,0.0,0.2155,0.1545,0.2941,0.1124,50.81,46.0,46.3
Sample 119/188,MOA001.A0101.170817,9618840,646908,6.725,8971932,3251,72,3179,0.034,1.023,0.0001,0.0148,0,0,0,0,0,6,0.015571247510411008,304.28,0.2451,0.1491,0.225,0.1425,49.91,46.0,46.57
Sample 120/188,MOA001.A0102,1532147,0,0.000,0,923,18,905,0.060,1.020,0,0.0045,0,0,0,0,0,2,0.007966684772768424,519.94,0.1569,0.1204,0.1579,0.1257,52.56,48.0,45.94
Sample 121/188,MOA001.A0102.170817,12194042,844450,6.925,11349592,4890,162,4728,0.040,1.034,0.0001,0.0205,0,0,0,0,0,0,NaN,0.0,0.2093,0.1146,0.2622,0.1287,46.42,41.0,47.17
