File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
KNP005.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11095033	1778517	10143068	1778473	177	16.0298486719237	16.0294520980695
KNP006.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11159677	2417609	13896644	2417583	241	21.663790089982	21.6635571083285
KNP007.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9160659	1731983	11435378	1731957	173	18.9067511409387	18.906467318563
KNP009.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11345038	2314538	13671475	2314504	231	20.4013243499052	20.401024659415
LIB007.A0115_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	260469	125585	5974716	125585	12	48.2149507235026	48.2149507235026
LIB007.A0116_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	152313	114852	6309110	114851	11	75.4052510291308	75.4045944863538
LIB007.A0117_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	45330	37351	3109655	37350	3	82.3979704390029	82.3957643944408
LIB007.A0118_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	413954	313023	12317906	313019	31	75.6178222701073	75.6168559791668
LIB007.A0119_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	295765	192364	10227675	192363	19	65.0394739066489	65.0391358003821
LIB007.A0120_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1296344	647750	53552645	647705	64	49.9674469122393	49.9639756114118
LIB007.A0121_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	609317	302171	26488347	302162	30	49.5917560153418	49.5902789516787
LIB007.A0122_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1957237	794037	62254671	793983	79	40.5692821053352	40.5665231139612
LIB007.A0123_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1446460	597008	48309931	596951	59	41.2737303485751	41.2697896934585
LIB007.A0124_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	776026	351431	27919822	351419	35	45.2859826861471	45.2844363462049
LIB009.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	204414	73801	2845062	73785	7	36.1036915279775	36.095864275441
LIB012.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	84134	47604	1232631	47604	4	56.5811681365441	56.5811681365441
